faculty_id,name,code
1,Hukuk Bölümü,
2,Tıp Bölümü,
3,Pilotaj,PILOT
4,İşletme,ISL
4,Uluslararası Ticaret ve Lojistik,UTIC
4,Sigortacılık ve Sosyal Güvenlik,SSGV
4,Enerji Yönetimi,ENR
4,İslam İktisadı ve Finans,ISLAM
5,Sosyal Hizmet,SH
5,Sosyoloji,SOS
5,Tarih,TR
5,Psikoloji,PS
5,İletişim ve Tasarımı,ITY
6,Elektrik - Elektronik Mühendisliği,EEE
6,Mekatronik Mühendisliği,MEM
6,Makine Mühendisliği,ME
6,İnşaat Mühendisliği,CIE
6,Bilgisayar Mühendisliği,CE
6,Endüstri Mühendisliği,END
6,Metalurji ve Malzeme Mühendisliği,MBNT
7,Mimarlık,MIM
7,İç Mimarlık,IMIM
7,Grafik Tasarımı,GRF
7,Geleneksel Türk Sanatları,GTS
7,Resim,RS
8,Hemşirelik,HEMS
8,Fizyoterapi ve Rehabilitasyon,FIZREH
8,Çocuk Gelişimi (4 yıllık),CGS
8,Beslenme ve Diyetetik,BESDIY
8,Ebelik,EBE
8,Odyoloji,ODY
9,İngilizce Mütercim ve Tercümanlık,MTI
9,Arapça Mütercim ve Tercümanlık,MTA
10,Fizyoterapi,FIZYO
10,Diyaliz,DIY
10,Anestezi,ANS
10,Tıbbi Görüntüleme Teknikleri,RAD
10,İlk ve Acil Yardım,ATT
10,Çocuk Gelişimi (2 yıllık),COCGEN
11,Adalet Meslek Yüksekokulu,
12,Dış Ticaret,DTIC
12,Mekatronik,MKT
12,Bilgisayar Programcılığı,TSMYOB
12,Sivil Havacılık Kabin Hizmetleri,TSMYOU
13,Hazırlık Eğitimi,HAZ
